Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,15,23,38,1.533
HiC_scaffold_2,34,43,77,1.265
HiC_scaffold_3,33,35,68,1.061
HiC_scaffold_4,99,100,199,1.010
HiC_scaffold_5,48,55,103,1.146
HiC_scaffold_6,59,52,111,0.881
HiC_scaffold_7,45,51,96,1.133
HiC_scaffold_8,39,32,71,0.821
HiC_scaffold_9,59,34,93,0.576
HiC_scaffold_10,43,50,93,1.163
HiC_scaffold_11,39,31,70,0.795
HiC_scaffold_12,49,43,92,0.878
HiC_scaffold_13,61,55,116,0.902
HiC_scaffold_14,50,48,98,0.960
HiC_scaffold_15,41,47,88,1.146
HiC_scaffold_16,43,47,90,1.093
HiC_scaffold_17,37,46,83,1.243
HiC_scaffold_18,46,64,110,1.391
HiC_scaffold_19,55,60,115,1.091
HiC_scaffold_20,42,55,97,1.310
HiC_scaffold_21,48,42,90,0.875
HiC_scaffold_22,39,32,71,0.821
HiC_scaffold_23,58,62,120,1.069
HiC_scaffold_24,31,29,60,0.935
HiC_scaffold_25,53,42,95,0.792
HiC_scaffold_26,86,76,162,0.884
HiC_scaffold_27,48,50,98,1.042
HiC_scaffold_28,46,42,88,0.913
HiC_scaffold_29,68,69,137,1.015
HiC_scaffold_30,64,57,121,0.891
HiC_scaffold_31,66,72,138,1.091
HiC_scaffold_32,40,55,95,1.375
HiC_scaffold_33,40,47,87,1.175
HiC_scaffold_34,90,86,176,0.956
HiC_scaffold_35,59,70,129,1.186
HiC_scaffold_36,25,31,56,1.240
HiC_scaffold_37,4,5,9,1.250
HiC_scaffold_38,20,14,34,0.700
HiC_scaffold_39,7,4,11,0.571
HiC_scaffold_40,7,3,10,0.429
HiC_scaffold_41,45,59,104,1.311
HiC_scaffold_42,45,42,87,0.933
HiC_scaffold_43,52,41,93,0.788
HiC_scaffold_44,21,27,48,1.286
HiC_scaffold_45,39,35,74,0.897
HiC_scaffold_46,49,57,106,1.163
HiC_scaffold_47,98,91,189,0.929
HiC_scaffold_48,39,52,91,1.333
HiC_scaffold_49,31,41,72,1.323
HiC_scaffold_50,39,41,80,1.051
HiC_scaffold_51,39,34,73,0.872
HiC_scaffold_52,42,30,72,0.714
HiC_scaffold_53,48,57,105,1.188
HiC_scaffold_54,35,39,74,1.114
HiC_scaffold_55,37,30,67,0.811
HiC_scaffold_56,3,2,5,0.667
HiC_scaffold_57,37,24,61,0.649
HiC_scaffold_58,26,39,65,1.500
HiC_scaffold_59,41,43,84,1.049
HiC_scaffold_60,39,32,71,0.821
HiC_scaffold_61,16,23,39,1.438
HiC_scaffold_62,38,30,68,0.789
HiC_scaffold_63,12,20,32,1.667
HiC_scaffold_64,19,22,41,1.158
HiC_scaffold_65,16,18,34,1.125
HiC_scaffold_66,7,11,18,1.571
HiC_scaffold_67,13,22,35,1.692
HiC_scaffold_68,15,9,24,0.600
HiC_scaffold_69,21,26,47,1.238
HiC_scaffold_70,5,3,8,0.600
HiC_scaffold_71,10,5,15,0.500
HiC_scaffold_72,2,3,5,1.500
HiC_scaffold_73,20,8,28,0.400
HiC_scaffold_74,10,5,15,0.500
HiC_scaffold_75,1,15,16,15.000
HiC_scaffold_76,15,14,29,0.933
HiC_scaffold_77,11,17,28,1.545
HiC_scaffold_78,3,8,11,2.667
HiC_scaffold_79,5,5,10,1.000
HiC_scaffold_80,0,2,2,inf
HiC_scaffold_81,3,1,4,0.333
HiC_scaffold_82,0,4,4,inf
HiC_scaffold_83,7,11,18,1.571
HiC_scaffold_84,5,1,6,0.200
TOTAL,2895,2958,5853,1.022
