Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,104,105,209,1.010
HiC_scaffold_2,172,187,359,1.087
HiC_scaffold_3,172,163,335,0.948
HiC_scaffold_4,520,483,1003,0.929
HiC_scaffold_5,212,268,480,1.264
HiC_scaffold_6,251,266,517,1.060
HiC_scaffold_7,211,274,485,1.299
HiC_scaffold_8,164,156,320,0.951
HiC_scaffold_9,250,212,462,0.848
HiC_scaffold_10,216,254,470,1.176
HiC_scaffold_11,159,183,342,1.151
HiC_scaffold_12,237,211,448,0.890
HiC_scaffold_13,257,246,503,0.957
HiC_scaffold_14,226,228,454,1.009
HiC_scaffold_15,246,241,487,0.980
HiC_scaffold_16,213,236,449,1.108
HiC_scaffold_17,253,229,482,0.905
HiC_scaffold_18,258,265,523,1.027
HiC_scaffold_19,237,246,483,1.038
HiC_scaffold_20,256,260,516,1.016
HiC_scaffold_21,252,261,513,1.036
HiC_scaffold_22,174,162,336,0.931
HiC_scaffold_23,267,292,559,1.094
HiC_scaffold_24,188,175,363,0.931
HiC_scaffold_25,302,260,562,0.861
HiC_scaffold_26,428,402,830,0.939
HiC_scaffold_27,254,256,510,1.008
HiC_scaffold_28,219,221,440,1.009
HiC_scaffold_29,319,308,627,0.966
HiC_scaffold_30,339,282,621,0.832
HiC_scaffold_31,318,340,658,1.069
HiC_scaffold_32,239,300,539,1.255
HiC_scaffold_33,255,265,520,1.039
HiC_scaffold_34,450,503,953,1.118
HiC_scaffold_35,320,311,631,0.972
HiC_scaffold_36,148,175,323,1.182
HiC_scaffold_37,27,22,49,0.815
HiC_scaffold_38,100,99,199,0.990
HiC_scaffold_39,28,26,54,0.929
HiC_scaffold_40,37,27,64,0.730
HiC_scaffold_41,247,278,525,1.126
HiC_scaffold_42,253,224,477,0.885
HiC_scaffold_43,250,243,493,0.972
HiC_scaffold_44,161,149,310,0.925
HiC_scaffold_45,194,169,363,0.871
HiC_scaffold_46,261,274,535,1.050
HiC_scaffold_47,411,442,853,1.075
HiC_scaffold_48,240,243,483,1.012
HiC_scaffold_49,160,184,344,1.150
HiC_scaffold_50,211,215,426,1.019
HiC_scaffold_51,196,202,398,1.031
HiC_scaffold_52,209,176,385,0.842
HiC_scaffold_53,230,244,474,1.061
HiC_scaffold_54,210,202,412,0.962
HiC_scaffold_55,191,218,409,1.141
HiC_scaffold_56,23,23,46,1.000
HiC_scaffold_57,184,163,347,0.886
HiC_scaffold_58,139,187,326,1.345
HiC_scaffold_59,227,228,455,1.004
HiC_scaffold_60,167,197,364,1.180
HiC_scaffold_61,99,88,187,0.889
HiC_scaffold_62,156,121,277,0.776
HiC_scaffold_63,105,104,209,0.990
HiC_scaffold_64,93,103,196,1.108
HiC_scaffold_65,88,94,182,1.068
HiC_scaffold_66,55,54,109,0.982
HiC_scaffold_67,68,90,158,1.324
HiC_scaffold_68,93,87,180,0.935
HiC_scaffold_69,150,126,276,0.840
HiC_scaffold_70,25,25,50,1.000
HiC_scaffold_71,52,55,107,1.058
HiC_scaffold_72,19,19,38,1.000
HiC_scaffold_73,37,34,71,0.919
HiC_scaffold_74,60,42,102,0.700
HiC_scaffold_75,9,37,46,4.111
HiC_scaffold_76,65,60,125,0.923
HiC_scaffold_77,64,59,123,0.922
HiC_scaffold_78,42,40,82,0.952
HiC_scaffold_79,17,25,42,1.471
HiC_scaffold_80,11,8,19,0.727
HiC_scaffold_81,15,7,22,0.467
HiC_scaffold_82,9,14,23,1.556
HiC_scaffold_83,49,60,109,1.224
HiC_scaffold_84,14,16,30,1.143
TOTAL,14837,15029,29866,1.013
