Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,2187,2219,4406,1.015
HiC_scaffold_2,2100,2068,4168,0.985
HiC_scaffold_3,3005,3222,6227,1.072
HiC_scaffold_4,2372,2403,4775,1.013
HiC_scaffold_5,2712,2771,5483,1.022
HiC_scaffold_6,2308,2360,4668,1.023
HiC_scaffold_7,1980,1944,3924,0.982
HiC_scaffold_8,2484,2350,4834,0.946
HiC_scaffold_9,3179,2919,6098,0.918
HiC_scaffold_10,1961,2010,3971,1.025
HiC_scaffold_11,2408,2398,4806,0.996
HiC_scaffold_12,2222,2374,4596,1.068
HiC_scaffold_13,2332,2500,4832,1.072
HiC_scaffold_14,3340,3334,6674,0.998
HiC_scaffold_15,4311,4447,8758,1.032
HiC_scaffold_16,4535,4348,8883,0.959
HiC_scaffold_17,3144,3223,6367,1.025
HiC_scaffold_18,5176,5447,10623,1.052
HiC_scaffold_19,5378,5215,10593,0.970
TOTAL,57134,57552,114686,1.007
