Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,40,56,96,1.400
HiC_scaffold_2,52,40,92,0.769
HiC_scaffold_3,53,63,116,1.189
HiC_scaffold_4,43,49,92,1.140
HiC_scaffold_5,50,58,108,1.160
HiC_scaffold_6,54,74,128,1.370
HiC_scaffold_7,59,45,104,0.763
HiC_scaffold_8,51,40,91,0.784
HiC_scaffold_9,95,68,163,0.716
HiC_scaffold_10,35,35,70,1.000
HiC_scaffold_11,44,48,92,1.091
HiC_scaffold_12,44,42,86,0.955
HiC_scaffold_13,37,50,87,1.351
HiC_scaffold_14,73,77,150,1.055
HiC_scaffold_15,78,91,169,1.167
HiC_scaffold_16,80,72,152,0.900
HiC_scaffold_17,66,63,129,0.955
HiC_scaffold_18,138,128,266,0.928
HiC_scaffold_19,110,101,211,0.918
TOTAL,1202,1200,2402,0.998
