Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,17,27,44,1.588
HiC_scaffold_2,48,39,87,0.812
HiC_scaffold_3,30,21,51,0.700
HiC_scaffold_4,34,27,61,0.794
HiC_scaffold_5,14,19,33,1.357
HiC_scaffold_6,15,29,44,1.933
HiC_scaffold_7,27,22,49,0.815
HiC_scaffold_8,22,21,43,0.955
HiC_scaffold_9,10,6,16,0.600
HiC_scaffold_10,9,2,11,0.222
HiC_scaffold_11,19,21,40,1.105
HiC_scaffold_12,23,37,60,1.609
HiC_scaffold_13,27,27,54,1.000
HiC_scaffold_14,43,33,76,0.767
HiC_scaffold_15,48,20,68,0.417
HiC_scaffold_16,18,18,36,1.000
HiC_scaffold_17,44,52,96,1.182
TOTAL,448,421,869,0.940
