Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,3438,3321,6759,0.966
HiC_scaffold_2,5932,5984,11916,1.009
HiC_scaffold_3,3508,3436,6944,0.979
HiC_scaffold_4,4021,4014,8035,0.998
HiC_scaffold_5,2268,2313,4581,1.020
HiC_scaffold_6,2752,2702,5454,0.982
HiC_scaffold_7,2728,2450,5178,0.898
HiC_scaffold_8,2503,2448,4951,0.978
HiC_scaffold_9,1530,1622,3152,1.060
HiC_scaffold_10,516,581,1097,1.126
HiC_scaffold_11,2353,2264,4617,0.962
HiC_scaffold_12,4199,4108,8307,0.978
HiC_scaffold_13,3676,3798,7474,1.033
HiC_scaffold_14,5485,5369,10854,0.979
HiC_scaffold_15,4872,4828,9700,0.991
HiC_scaffold_16,2186,2213,4399,1.012
HiC_scaffold_17,7720,7576,15296,0.981
TOTAL,59687,59027,118714,0.989
