Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
NC_006088.5,232,188,420,0.810
NC_006089.5,180,144,324,0.800
NC_006090.5,110,116,226,1.055
NC_006091.5,127,121,248,0.953
NC_006092.5,66,89,155,1.348
NC_006093.5,44,41,85,0.932
NC_006094.5,44,40,84,0.909
NC_006095.5,47,36,83,0.766
NC_006096.5,39,52,91,1.333
NC_006097.5,35,31,66,0.886
NC_006098.5,16,35,51,2.188
NC_006099.5,38,29,67,0.763
NC_006100.5,36,28,64,0.778
NC_006101.5,48,45,93,0.938
NC_006102.5,17,39,56,2.294
NC_006103.5,10,42,52,4.200
NC_006104.5,25,18,43,0.720
NC_006105.5,32,22,54,0.688
NC_006106.5,22,30,52,1.364
NC_006107.5,25,18,43,0.720
NC_006108.5,18,16,34,0.889
NC_006109.5,15,13,28,0.867
NC_006110.5,18,22,40,1.222
NC_006111.5,15,16,31,1.067
NC_006112.4,23,16,39,0.696
NC_006113.5,29,19,48,0.655
NC_006114.5,24,50,74,2.083
NC_006115.5,23,20,43,0.870
NC_006119.4,6,2,8,0.333
NC_006126.5,11,9,20,0.818
NC_006127.5,148,160,308,1.081
NC_008465.4,36,43,79,1.194
NC_028739.2,18,28,46,1.556
NC_028740.2,11,10,21,0.909
TOTAL,1588,1588,3176,1.000
