Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,213,216,429,1.014
HiC_scaffold_2,133,113,246,0.850
HiC_scaffold_3,118,130,248,1.102
HiC_scaffold_4,130,177,307,1.362
HiC_scaffold_5,177,184,361,1.040
HiC_scaffold_6,154,187,341,1.214
HiC_scaffold_7,158,149,307,0.943
HiC_scaffold_8,145,207,352,1.428
HiC_scaffold_9,158,156,314,0.987
HiC_scaffold_10,157,162,319,1.032
HiC_scaffold_11,139,167,306,1.201
HiC_scaffold_12,172,147,319,0.855
HiC_scaffold_13,260,204,464,0.785
HiC_scaffold_14,170,195,365,1.147
HiC_scaffold_15,173,173,346,1.000
HiC_scaffold_16,169,158,327,0.935
HiC_scaffold_17,194,170,364,0.876
HiC_scaffold_18,262,250,512,0.954
HiC_scaffold_19,161,194,355,1.205
HiC_scaffold_20,141,152,293,1.078
HiC_scaffold_21,155,156,311,1.006
TOTAL,3539,3647,7186,1.031
