Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,37,46,83,1.243
HiC_scaffold_2,28,23,51,0.821
HiC_scaffold_3,22,38,60,1.727
HiC_scaffold_4,28,30,58,1.071
HiC_scaffold_5,33,56,89,1.697
HiC_scaffold_6,31,41,72,1.323
HiC_scaffold_7,40,24,64,0.600
HiC_scaffold_8,39,38,77,0.974
HiC_scaffold_9,34,31,65,0.912
HiC_scaffold_10,36,26,62,0.722
HiC_scaffold_11,30,34,64,1.133
HiC_scaffold_12,63,30,93,0.476
HiC_scaffold_13,51,36,87,0.706
HiC_scaffold_14,40,45,85,1.125
HiC_scaffold_15,33,40,73,1.212
HiC_scaffold_16,41,39,80,0.951
HiC_scaffold_17,39,34,73,0.872
HiC_scaffold_18,58,57,115,0.983
HiC_scaffold_19,37,33,70,0.892
HiC_scaffold_20,30,29,59,0.967
HiC_scaffold_21,29,35,64,1.207
TOTAL,779,765,1544,0.982
