chrom	start	end	region	is_bad_bin	log2_insulation_score_100000	n_valid_pixels_100000	boundary_strength_100000	is_boundary_100000
chr2L	0	2000	chr2L	True		0.0		False
chr2L	2000	4000	chr2L	True		0.0		False
chr2L	4000	6000	chr2L	True		0.0		False
chr2L	6000	8000	chr2L	True		0.0		False
chr2L	8000	10000	chr2L	True		0.0		False
chr2L	10000	12000	chr2L	True		0.0		False
chr2L	12000	14000	chr2L	True		0.0		False
chr2L	14000	16000	chr2L	True		0.0		False
chr2L	16000	18000	chr2L	True		0.0		False
chr2L	18000	20000	chr2L	True		0.0		False
chr2L	20000	22000	chr2L	True		0.0		False
chr2L	22000	24000	chr2L	True		0.0		False
chr2L	24000	26000	chr2L	True		0.0		False
chr2L	26000	28000	chr2L	True		0.0		False
chr2L	28000	30000	chr2L	True		0.0		False
chr2L	30000	32000	chr2L	True		0.0		False
chr2L	32000	34000	chr2L	True		0.0		False
chr2L	34000	36000	chr2L	True		0.0		False
chr2L	36000	38000	chr2L	True		0.0		False
chr2L	38000	40000	chr2L	True		0.0		False
chr2L	40000	42000	chr2L	True		0.0		False
chr2L	42000	44000	chr2L	True		0.0		False
chr2L	44000	46000	chr2L	True		0.0		False
chr2L	46000	48000	chr2L	True		0.0		False
chr2L	48000	50000	chr2L	True		0.0		False
chr2L	50000	52000	chr2L	True		0.0		False
chr2L	52000	54000	chr2L	True		0.0		False
chr2L	54000	56000	chr2L	True		0.0		False
chr2L	56000	58000	chr2L	True		0.0		False
chr2L	58000	60000	chr2L	True		0.0		False
chr2L	60000	62000	chr2L	False	2.0604033594573457	43.0		False
chr2L	62000	64000	chr2L	False	2.030757770633559	92.0		False
chr2L	64000	66000	chr2L	False	1.7505206246032354	139.0		False
chr2L	66000	68000	chr2L	False	1.5002479475201846	183.0		False
chr2L	68000	70000	chr2L	False	1.4847571621727218	230.0		False
chr2L	70000	72000	chr2L	False	1.4001755482904	275.0		False
chr2L	72000	74000	chr2L	False	1.0785963703750374	320.0	0.725950474762719	True
chr2L	74000	76000	chr2L	False	1.249098545627694	365.0		False
chr2L	76000	78000	chr2L	False	1.5769851597908728	413.0		False
chr2L	78000	80000	chr2L	False	1.7466100618368112	459.0		False
chr2L	80000	82000	chr2L	False	1.8045468451377564	504.0		False
chr2L	82000	84000	chr2L	False	1.7966217654185859	550.0		False
chr2L	84000	86000	chr2L	False	1.746136809087536	592.0		False
chr2L	86000	88000	chr2L	False	1.644655132688981	634.0		False
chr2L	88000	90000	chr2L	False	1.5406510845126615	678.0		False
chr2L	90000	92000	chr2L	False	1.423175567744786	715.0		False
chr2L	92000	94000	chr2L	False	1.2566221202795604	756.0		False
chr2L	94000	96000	chr2L	False	0.998889171471335	795.0	0.1530724348022754	True
chr2L	96000	98000	chr2L	False	1.067229208664567	838.0		False
chr2L	98000	100000	chr2L	False	1.1519616062736104	878.0		False
chr2L	100000	102000	chr2L	False	1.0958409462349445	920.0		False
chr2L	102000	104000	chr2L	False	0.9124581454051819	957.0		False
chr2L	104000	106000	chr2L	False	0.9471836106853506	996.0		False
chr2L	106000	108000	chr2L	False	0.9374081097089655	1036.0		False
chr2L	108000	110000	chr2L	False	0.8637956822522442	1078.0		False
chr2L	110000	112000	chr2L	False	0.9236579483033774	1117.0		False
chr2L	112000	114000	chr2L	False	0.9591775669776899	1154.0		False
chr2L	114000	116000	chr2L	False	0.8742700759992548	1196.0		False
