Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1L,2455,2379,4834,0.969
chr1S,2307,2477,4784,1.074
chr2S,2043,2002,4045,0.980
chr2L,2052,1983,4035,0.966
chr3S,1802,1661,3463,0.922
chr3L,1511,1574,3085,1.042
chr4S,1459,1523,2982,1.044
chr4L,1734,1640,3374,0.946
chr5S,1822,1831,3653,1.005
chr5L,1605,1649,3254,1.027
chr6L,1777,1780,3557,1.002
chr6S,1992,2034,4026,1.021
chr7L,1506,1610,3116,1.069
chr7S,1203,1257,2460,1.045
chr8L,1222,1254,2476,1.026
chr8S,1371,1430,2801,1.043
chr9_10L,1257,1316,2573,1.047
chr9_10S,1244,1382,2626,1.111
TOTAL,30362,30782,61144,1.014
