Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1L,1322,1296,2618,0.980
chr1S,1108,1168,2276,1.054
chr2S,1172,1151,2323,0.982
chr2L,1051,1007,2058,0.958
chr3S,1044,967,2011,0.926
chr3L,792,840,1632,1.061
chr4S,819,839,1658,1.024
chr4L,900,850,1750,0.944
chr5S,962,978,1940,1.017
chr5L,863,871,1734,1.009
chr6L,955,953,1908,0.998
chr6S,1016,1034,2050,1.018
chr7L,860,902,1762,1.049
chr7S,602,636,1238,1.056
chr8L,673,713,1386,1.059
chr8S,801,845,1646,1.055
chr9_10L,650,688,1338,1.058
chr9_10S,688,769,1457,1.118
TOTAL,16278,16507,32785,1.014
