Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1,2096,2052,4148,0.979
chr2,1730,1679,3409,0.971
chr3,1358,1305,2663,0.961
chr4,1071,1018,2089,0.951
chr5,1110,1159,2269,1.044
chr6,1138,1133,2271,0.996
chr7,1209,1197,2406,0.990
chr8,1023,1062,2085,1.038
chr9,1037,953,1990,0.919
chr10,1108,1083,2191,0.977
chr11,1170,1225,2395,1.047
chr12,1022,1091,2113,1.068
chr13,544,526,1070,0.967
chr14,742,912,1654,1.229
chr15,793,811,1604,1.023
chr16,951,936,1887,0.984
chr17,1041,1032,2073,0.991
chr18,485,2583,3068,5.326
chr19,1009,985,1994,0.976
chr20,681,1914,2595,2.811
chr21,330,299,629,0.906
chr22,573,535,1108,0.934
chrX,958,935,1893,0.976
chrY,143,160,303,1.119
TOTAL,23322,26585,49907,1.140
