species	CTCF	ESCO1	ESCO2	HDAC8	NIPBL	PDS5A	PDS5B	RAD21	SMC1	SMC3	STAG1	STAG2	WAPL
Aedes_aegypti	CTCF	ESCO2	ESCO2	HDAC2	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Arabidopsis_thaliana	KDM5D	ESCO2	ESCO2	HDAC1	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Bos_taurus	CTCF	ESCO1	ESCO2	HDAC1	NIPBL	PDS5A	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Branchiostoma_lanceolatum	CTCF	ESCO1	ESCO1	NA	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Branchiostoma_lanceolatum_NCBI	CTCF	ESCO1	ESCO1	NA	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Caenorhabditis_elegans	ZNF658	ESCO2	ESCO2	HDAC1	NIPBL	PDS5B	PDS5B	RAD21L1	SMC1A	SMC3	STAG2	STAG2	WAPL
Camponotus_floridanus	CTCF	ESCO1	ESCO1	HDAC2	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Ciona_intestinalis	CTCF	ESCO2	ESCO2	HDAC8	NIPBL	PDS5B	PDS5B	ZBED5	SMC1A	SMC3	STAG2	STAG2	WAPL
Ciona_intestinalis_NCBI	CTCF	ESCO2	ESCO2	HDAC8	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Danio_rerio	CTCF	ESCO1	ESCO2	HDAC2	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG2	WAPL
Drosophila_melanogaster	CTCFL	ESCO1	ESCO1	HDAC2	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Eptatretus_burgeri	MTF1	NA	NA	HDAC2	TMC5	NA	NA	RAD21	SMC1A	NA	NA	NA	NA
Gallus_gallus	CTCF	ESCO1	ESCO2	HDAC8	NIPBL	PDS5A	PDS5B	RAD21	SMC1B	SMC3	STAG1	STAG2	WAPL
Latrodectus_hesperus	CTCF	ESCO1	ESCO2	HDAC8	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Mus_musculus	CTCF	ESCO1	ESCO2	HDAC8	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Petromyzon_marinus	CTCF	ESCO1	ESCO1	HDAC2	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Python_bivittatus	CTCF	ESCO1	ESCO2	PHKA1	NIPBL	PDS5A	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG1	WAPL
Rattus_norvegicus	CTCF	ESCO1	ESCO2	PHKA1	NIPBL	PDS5A	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG2	WAPL
Schizosaccharomyces_pombe	GTF3A	POLH	POLH	HDAC1	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG3	STAG3	NA
Strongylocentrotus_purpuratus	CTCFL	ESCO1	ESCO1	HDAC8	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Strongylocentrotus_purpuratus_NCBI	CTCF	ESCO1	ESCO1	NA	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG2	STAG2	WAPL
Xenopus_laevis	CTCF	ESCO1	ESCO2	HDAC8	NIPBL	PDS5B	PDS5B	RAD21	SMC1A	SMC3	STAG1	STAG2	WAPL
