Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chr1,556,510,1066,0.917
chr2,396,382,778,0.965
chr3,293,279,572,0.952
chr4,218,202,420,0.927
chr5,229,256,485,1.118
chr6,235,255,490,1.085
chr7,286,303,589,1.059
chr8,234,237,471,1.013
chr9,240,218,458,0.908
chr10,271,242,513,0.893
chr11,326,315,641,0.966
chr12,272,277,549,1.018
chr13,125,111,236,0.888
chr14,179,287,466,1.603
chr15,198,207,405,1.045
chr16,226,215,441,0.951
chr17,293,284,577,0.969
chr18,112,113,225,1.009
chr19,300,278,578,0.927
chr20,169,140,309,0.828
chr21,80,60,140,0.750
chr22,157,131,288,0.834
chrX,186,171,357,0.919
chrY,28,23,51,0.821
TOTAL,5609,5496,11105,0.980
