Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,745,658,1403,0.883
HiC_scaffold_2,606,589,1195,0.972
HiC_scaffold_3,560,550,1110,0.982
HiC_scaffold_4,581,578,1159,0.995
HiC_scaffold_5,543,522,1065,0.961
HiC_scaffold_6,495,557,1052,1.125
HiC_scaffold_7,438,478,916,1.091
HiC_scaffold_8,524,496,1020,0.947
HiC_scaffold_9,416,431,847,1.036
HiC_scaffold_10,494,450,944,0.911
HiC_scaffold_11,442,451,893,1.020
HiC_scaffold_12,422,376,798,0.891
HiC_scaffold_13,385,360,745,0.935
HiC_scaffold_14,346,323,669,0.934
HiC_scaffold_15,312,356,668,1.141
HiC_scaffold_16,373,310,683,0.831
HiC_scaffold_17,308,306,614,0.994
HiC_scaffold_18,330,320,650,0.970
HiC_scaffold_19,313,315,628,1.006
HiC_scaffold_20,298,282,580,0.946
HiC_scaffold_21,286,322,608,1.126
HiC_scaffold_22,245,256,501,1.045
HiC_scaffold_23,275,244,519,0.887
HiC_scaffold_24,276,281,557,1.018
HiC_scaffold_25,261,250,511,0.958
HiC_scaffold_26,309,281,590,0.909
HiC_scaffold_27,267,241,508,0.903
HiC_scaffold_28,227,225,452,0.991
HiC_scaffold_29,242,215,457,0.888
HiC_scaffold_30,213,243,456,1.141
HiC_scaffold_31,237,231,468,0.975
HiC_scaffold_32,176,198,374,1.125
HiC_scaffold_33,228,252,480,1.105
HiC_scaffold_34,213,197,410,0.925
HiC_scaffold_35,207,179,386,0.865
HiC_scaffold_36,179,182,361,1.017
HiC_scaffold_37,147,160,307,1.088
HiC_scaffold_38,148,150,298,1.014
HiC_scaffold_39,169,161,330,0.953
HiC_scaffold_40,141,128,269,0.908
HiC_scaffold_41,113,95,208,0.841
HiC_scaffold_42,149,137,286,0.919
HiC_scaffold_43,83,89,172,1.072
HiC_scaffold_44,71,79,150,1.113
HiC_scaffold_45,45,53,98,1.178
HiC_scaffold_46,77,63,140,0.818
HiC_scaffold_47,78,59,137,0.756
HiC_scaffold_48,74,59,133,0.797
HiC_scaffold_49,16,25,41,1.562
HiC_scaffold_50,19,15,34,0.789
HiC_scaffold_51,47,34,81,0.723
HiC_scaffold_52,22,13,35,0.591
TOTAL,14171,13825,27996,0.976
