Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
HiC_scaffold_1,309,266,575,0.861
HiC_scaffold_2,245,236,481,0.963
HiC_scaffold_3,233,241,474,1.034
HiC_scaffold_4,228,237,465,1.039
HiC_scaffold_5,224,211,435,0.942
HiC_scaffold_6,196,220,416,1.122
HiC_scaffold_7,186,198,384,1.065
HiC_scaffold_8,220,202,422,0.918
HiC_scaffold_9,183,182,365,0.995
HiC_scaffold_10,223,164,387,0.735
HiC_scaffold_11,194,197,391,1.015
HiC_scaffold_12,178,171,349,0.961
HiC_scaffold_13,166,148,314,0.892
HiC_scaffold_14,134,146,280,1.090
HiC_scaffold_15,134,154,288,1.149
HiC_scaffold_16,155,133,288,0.858
HiC_scaffold_17,131,104,235,0.794
HiC_scaffold_18,134,132,266,0.985
HiC_scaffold_19,117,138,255,1.179
HiC_scaffold_20,134,115,249,0.858
HiC_scaffold_21,124,135,259,1.089
HiC_scaffold_22,97,115,212,1.186
HiC_scaffold_23,116,106,222,0.914
HiC_scaffold_24,117,119,236,1.017
HiC_scaffold_25,106,99,205,0.934
HiC_scaffold_26,137,108,245,0.788
HiC_scaffold_27,119,91,210,0.765
HiC_scaffold_28,95,85,180,0.895
HiC_scaffold_29,111,94,205,0.847
HiC_scaffold_30,93,97,190,1.043
HiC_scaffold_31,101,102,203,1.010
HiC_scaffold_32,74,79,153,1.068
HiC_scaffold_33,104,124,228,1.192
HiC_scaffold_34,86,87,173,1.012
HiC_scaffold_35,85,73,158,0.859
HiC_scaffold_36,82,81,163,0.988
HiC_scaffold_37,67,69,136,1.030
HiC_scaffold_38,66,64,130,0.970
HiC_scaffold_39,84,70,154,0.833
HiC_scaffold_40,54,53,107,0.981
HiC_scaffold_41,44,37,81,0.841
HiC_scaffold_42,67,63,130,0.940
HiC_scaffold_43,44,50,94,1.136
HiC_scaffold_44,37,28,65,0.757
HiC_scaffold_45,23,19,42,0.826
HiC_scaffold_46,36,22,58,0.611
HiC_scaffold_47,33,25,58,0.758
HiC_scaffold_48,32,32,64,1.000
HiC_scaffold_49,4,13,17,3.250
HiC_scaffold_50,14,4,18,0.286
HiC_scaffold_51,18,11,29,0.611
HiC_scaffold_52,9,4,13,0.444
TOTAL,6003,5754,11757,0.959
