Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
NC_006088.5,1374,1352,2726,0.984
NC_006089.5,1013,984,1997,0.971
NC_006090.5,709,730,1439,1.030
NC_006091.5,664,657,1321,0.989
NC_006092.5,438,466,904,1.064
NC_006093.5,310,281,591,0.906
NC_006094.5,291,253,544,0.869
NC_006095.5,234,246,480,1.051
NC_006096.5,211,221,432,1.047
NC_006097.5,223,203,426,0.910
NC_006098.5,161,179,340,1.112
NC_006099.5,193,192,385,0.995
NC_006100.5,180,164,344,0.911
NC_006101.5,194,224,418,1.155
NC_006102.5,144,182,326,1.264
NC_006103.5,55,115,170,2.091
NC_006104.5,122,146,268,1.197
NC_006105.5,143,143,286,1.000
NC_006106.5,134,120,254,0.896
NC_006107.5,156,160,316,1.026
NC_006108.5,95,102,197,1.074
NC_006109.5,78,77,155,0.987
NC_006110.5,96,102,198,1.062
NC_006111.5,90,85,175,0.944
NC_006112.4,70,77,147,1.100
NC_006113.5,122,91,213,0.746
NC_006114.5,122,136,258,1.115
NC_006115.5,95,91,186,0.958
NC_006119.4,16,16,32,1.000
NC_006126.5,91,87,178,0.956
NC_006127.5,632,651,1283,1.030
NC_008465.4,160,197,357,1.231
NC_028739.2,66,67,133,1.015
NC_028740.2,74,79,153,1.068
TOTAL,8756,8876,17632,1.014
