chrom	start	end	region	is_bad_bin	log2_insulation_score_100000	n_valid_pixels_100000	boundary_strength_100000	is_boundary_100000	midpoint	window_bp	ctcf_count
HiC_scaffold_1	152000	154000	HiC_scaffold_1	False	-0.11226623225091198	143.0	0.2557578258404446	True	153000	10000	1
HiC_scaffold_1	212000	214000	HiC_scaffold_1	False	-0.2614922410253885	11.0	0.11547721741993625	True	213000	10000	1
HiC_scaffold_1	222000	224000	HiC_scaffold_1	False	-0.19437804516685153	7.0	0.4353861446706465	True	223000	10000	1
HiC_scaffold_1	538000	540000	HiC_scaffold_1	False	-0.15754127698648013	203.0	0.24772447424250613	True	539000	10000	1
HiC_scaffold_1	824000	826000	HiC_scaffold_1	False	-0.1623922295767999	184.0	0.4780718761172138	True	825000	10000	1
HiC_scaffold_1	898000	900000	HiC_scaffold_1	False	-0.1546604130178712	206.0	0.37923491713324675	True	899000	10000	1
HiC_scaffold_1	1186000	1188000	HiC_scaffold_1	False	-0.3051461160548396	137.0	1.3312609593089546	True	1187000	10000	1
HiC_scaffold_1	1248000	1250000	HiC_scaffold_1	False	-0.14432171937245983	131.0	0.14432171937245983	True	1249000	10000	1
HiC_scaffold_1	1566000	1568000	HiC_scaffold_1	False	-0.27154590568931136	84.0	0.724230822736539	True	1567000	10000	1
HiC_scaffold_1	2446000	2448000	HiC_scaffold_1	False	-0.1178364902938583	195.0	0.19793937761190883	True	2447000	10000	1
HiC_scaffold_1	2646000	2648000	HiC_scaffold_1	False	-0.13326653086346424	468.0	0.27719497382526403	True	2647000	10000	1
HiC_scaffold_1	3474000	3476000	HiC_scaffold_1	False	-0.07617447410237461	183.0	0.4600173517776241	True	3475000	10000	1
HiC_scaffold_1	3498000	3500000	HiC_scaffold_1	False	-0.008511499855517406	190.0	0.14841875609601118	True	3499000	10000	1
HiC_scaffold_1	3836000	3838000	HiC_scaffold_1	False	-0.15180666141521587	96.0	0.5412002831908985	True	3837000	10000	1
HiC_scaffold_1	3996000	3998000	HiC_scaffold_1	False	-0.20698809402209367	158.0	0.5516748396275573	True	3997000	10000	1
HiC_scaffold_1	4910000	4912000	HiC_scaffold_1	False	-0.08684958086240624	147.0	0.11242491158058542	True	4911000	10000	2
HiC_scaffold_1	5024000	5026000	HiC_scaffold_1	False	0.10991462981468461	107.0	0.20887914267161004	True	5025000	10000	1
HiC_scaffold_1	5114000	5116000	HiC_scaffold_1	False	-0.010168817718291456	268.0	0.25820680692056586	True	5115000	10000	2
HiC_scaffold_1	5648000	5650000	HiC_scaffold_1	False	-0.13625605714312378	374.0	0.6527700945325852	True	5649000	10000	1
HiC_scaffold_1	5946000	5948000	HiC_scaffold_1	False	-0.07890082774691543	42.0	0.1482559992974114	True	5947000	10000	1
HiC_scaffold_1	5950000	5952000	HiC_scaffold_1	False	-0.10071893795260635	41.0	0.11968817451919586	True	5951000	10000	1
HiC_scaffold_1	6056000	6058000	HiC_scaffold_1	False	0.32151406273044136	82.0	0.11589124957685681	True	6057000	10000	1
HiC_scaffold_1	6132000	6134000	HiC_scaffold_1	False	0.011526253381027663	44.0	0.10187961401921353	True	6133000	10000	1
HiC_scaffold_1	6138000	6140000	HiC_scaffold_1	False	-0.065095028221885	36.0	0.14519791553993555	True	6139000	10000	1
HiC_scaffold_1	6214000	6216000	HiC_scaffold_1	False	-0.325622578445104	23.0	0.10852445677816902	True	6215000	10000	1
HiC_scaffold_1	6290000	6292000	HiC_scaffold_1	False	-0.19437804516685153	14.0	0.12928301694496652	True	6291000	10000	1
HiC_scaffold_1	6350000	6352000	HiC_scaffold_1	False	-0.02856915219677079	39.0	0.5849625007211562	True	6351000	10000	1
HiC_scaffold_1	6542000	6544000	HiC_scaffold_1	False	-0.19437804516685153	49.0	0.513623719000894	True	6543000	10000	2
HiC_scaffold_1	6938000	6940000	HiC_scaffold_1	False	-0.2265584509160012	68.0	0.19971089205107942	True	6939000	10000	1
HiC_scaffold_1	7258000	7260000	HiC_scaffold_1	False	0.08610073725532115	286.0	0.18638559372164193	True	7259000	10000	1
HiC_scaffold_1	7596000	7598000	HiC_scaffold_1	False	-0.09841050751739476	587.0	0.21714070273241848	True	7597000	10000	1
HiC_scaffold_1	7756000	7758000	HiC_scaffold_1	False	0.007255816002799144	735.0	0.13883363733160897	True	7757000	10000	1
HiC_scaffold_1	8210000	8212000	HiC_scaffold_1	False	-0.09668137127971808	314.0	0.46033700999285887	True	8211000	10000	1
